               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11898,            0.047244,            0.029203,            0.016582,           0.0074627,           0.0006712,          0.00011201,            0.078601,            0.017636,            0.020903,             0.00026,             0.00026,             0.09766
                   1,             0.10832,            0.052442,            0.027175,             0.02358,           0.0074627,           0.0020077,           0.0004512,            0.068853,            0.015599,            0.022051,          0.00047753,          0.00047753,            0.095178
                   2,            0.098971,            0.054704,            0.025414,            0.015227,           0.0074627,           0.0024396,          0.00052907,            0.058994,            0.015378,            0.024144,           0.0006416,           0.0006416,            0.092642
                   3,            0.088474,            0.052715,            0.023607,            0.002415,             0.11493,           0.0024393,          0.00048989,            0.052034,            0.016604,            0.026226,          0.00075221,          0.00075221,            0.090052
                   4,            0.080602,            0.048776,            0.022703,           0.0050777,             0.10681,           0.0030674,           0.0008311,            0.045803,            0.020176,            0.029092,          0.00080936,          0.00080936,            0.087409
                   5,             0.07508,            0.042114,            0.021648,            0.011939,             0.30746,           0.0091519,           0.0019046,            0.044479,             0.01971,            0.031829,          0.00081305,          0.00081305,            0.084713
                   6,            0.073933,            0.040336,            0.021033,           0.0084203,                 0.1,           0.0061253,           0.0016434,            0.041819,            0.017857,            0.034777,          0.00076328,          0.00076328,            0.081963
                   7,             0.06849,            0.041945,            0.020293,            0.022272,                 0.3,             0.01763,           0.0053976,             0.04033,            0.019366,            0.034451,          0.00066005,          0.00066005,             0.07916
                   8,            0.065274,             0.04038,            0.019276,            0.019134,                 0.1,            0.012501,           0.0036381,            0.039819,            0.018799,            0.035521,          0.00050336,          0.00050336,            0.076303
                   9,            0.062784,            0.038318,            0.019414,            0.017692,                 0.2,            0.012663,           0.0038952,            0.039437,            0.018823,            0.035945,          0.00029321,          0.00029321,            0.073393
